user,text,date,emotion,comment,share,cleaned_text,cluster,sentiment
Jo Stina,Is there an AI tool that creates hands on learning activities?for instance if I’m looking for a hands on activity to teach a math concept,2024-11-24 21:39:58,7,8,0,ai tool creates hands learning activitiesfor instance im looking hands activity teach math concept,0,POSITIVE
Frank Ng,A great practical tip from Harvard Business Publishing showing teachers how to create reusable templates.,2024-11-26 21:29:17,20,0,17,great practical tip harvard business publishing showing teachers create reusable templates,2,POSITIVE
Anonymous participant,"Can someone suggest best tools for social media post creation inluding flyer, post etc",2024-11-14 21:16:02,8,8,0,someone suggest best tools social media post creation inluding flyer post etc,0,NEGATIVE
Ieva Ieva,Hi. What are the best tools for smart boards?,2024-11-25 20:55:59,5,5,0,hi best tools smart boards,0,POSITIVE
Actively Teaching,Can anyone make any suggestions? I am looking for a platform to use daily during a 20 minute intervention block for 6th grade ELA. I would like it to adjust to each students level and offer individualized instruction on pa aligned skills while I am working one on one with other students. Thank you!,2024-11-25 20:55:39,5,7,0,anyone make suggestions looking platform use daily minute intervention block th grade ela would like adjust students level offer individualized instruction pa aligned skills working one one students thank,2,NEGATIVE
K Prakash,Solar eclipse with images,2024-11-25 20:55:32,4,3,0,solar eclipse images,0,POSITIVE
Kalina Parker,"Hello everyone, I’m new here! 🥳
Currently, I mainly use AI for language learning, writing assistance, and some research related to metaphysics. I’d like to ask you all, what do you think are some ways we can make money using AI?",2024-11-23 23:03:35,5,6,0,hello everyone im new currently mainly use ai language learning writing assistance research related metaphysics id like ask think ways make money using ai,2,NEGATIVE
Samantha Holm Kump,"I want to take information from quizzes and other forms to make a game or activity to study for tests. My daughter is currently tetyoong all whizz questions into a google form. I know that’s good for at least seeing the information again, but it’s so time consuming! 

*Export and aggregate the google forms into something finish for studying*",2024-11-25 20:58:52,3,5,0,want take information quizzes forms make game activity study tests daughter currently tetyoong whizz questions google form know thats good least seeing information time consuming export aggregate google forms something finish studying,2,NEGATIVE
Anonymous participant,"My district told us that there's no such thing as plagiarism when it comes to students handing in AI generated work. In addition, we are to teach them how to use it better. We are also taught how to train the AI to generate better lesson plans, assignments, step by step lessons... essentially teaching AI how to replace humans as teachers. How was your day? Oh and 70% is the new minimum grade on report cards if we are teachers who are capable of engaging students.",2024-11-19 22:08:22,82,69,0,district told us theres thing plagiarism comes students handing ai generated work addition teach use better also taught train ai generate better lesson plans assignments step step lessons essentially teaching ai replace humans teachers day oh new minimum grade report cards teachers capable engaging students,2,NEGATIVE
Carmen Breytenbach,I’m looking for a tool/ app/ website to help me take a photo and add an animated character over it. I remember using one in 2016 where we took a photo of the playground and animated a dragon breathing fire over the climbing frame 😂 but I can’t remember what it was! And now there must be easier tools to use? Thank you 🙏🏻,2024-11-25 20:58:05,3,4,0,im looking tool app website help take photo add animated character remember using one took photo playground animated dragon breathing fire climbing frame cant remember must easier tools use thank,2,NEGATIVE
Anonymous participant,"Good morning 
Searching for an app or site that can grade handwritten responses.  Bonus points for rubric and data table creation.",2024-11-03 19:58:33,13,13,0,good morning searching app site grade handwritten responses bonus points rubric data table creation,2,POSITIVE
Yael Morris,Any AI tools for making the grading process for assignments and tests simpler and easier?,2024-09-27 20:04:40,7,12,0,ai tools making grading process assignments tests simpler easier,0,NEGATIVE
Stavroula Ekoutsidou,Hi! I' d like to ask you if there is an AI tool that helps you create a virtual museum with images you want to show (I know you can create a virtual museum with Artsteps),2024-11-25 20:56:04,2,2,1,hi like ask ai tool helps create virtual museum images want show know create virtual museum artsteps,0,NEGATIVE
John Kett,Hello! Just joined this group. What AI tools could convert student writing to typed text?,2024-11-24 21:38:24,3,3,0,hello joined group ai tools could convert student writing typed text,0,NEGATIVE
Anonymous participant,Hi any AI tools suitable for a 10 year old who struggles with spelling and comprehension? Thanks.,2024-11-25 20:56:28,3,3,0,hi ai tools suitable year old struggles spelling comprehension thanks,2,NEGATIVE
Anonymous participant,"Good morning I hope I can get some help here. My significant other is in Law Enforcement, he has been asked to teach about the requirements to become a registered arms owner. The presentation needs to be accessible in Spanish as well. I could translate it, but it’s going to take me forever. Is there an AI platform that could do this? I don’t think I could use Magic School because of the topic. Thank you in advance.",2024-11-25 20:56:51,2,3,0,good morning hope get help significant law enforcement asked teach requirements become registered arms owner presentation needs accessible spanish well could translate going take forever ai platform could dont think could use magic school topic thank advance,2,NEGATIVE
Joel Aarons,Hi everyone! Looking for an AI tool for creating video slideshows out of photos and videos. I'm on a PC and Microsoft Clipchamp does an ok job. Something I can plug in a folder full of photos with a song and it puts it all together. Bonus if it does a Ken Burns effect (slow pan and zoom) on each one. Thanks guys!,2024-11-25 20:55:57,4,1,0,hi everyone looking ai tool creating video slideshows photos videos im pc microsoft clipchamp ok job something plug folder full photos song puts together bonus ken burns effect slow pan zoom one thanks guys,2,NEGATIVE
Anonymous participant,"Is there an AI tool that will take hand written instructions as to how to complete. Math problem and convert them to audio (and with a corresponding video) would be amazing too ?!?

Thank you 😊",2024-11-25 20:55:31,4,1,0,ai tool take hand written instructions complete math problem convert audio corresponding video would amazing thank,0,POSITIVE
Diana Johnhan,"# **How to Create an AI Lesson Plan Using ChatGPT**

Here's a helpful guide how to create your own AI lesson plan using ChatGPT.

",2024-11-25 20:57:02,34,1,23,create ai lesson plan using chatgpt heres helpful guide create ai lesson plan using chatgpt,1,NEGATIVE
Antonia Pagano,Is there a free AI tool to record a list of nouns or verbs at a slower apeed? Is there a free app to record two different voices for a dialogue? Eleven labs is fantastic but for lower levels it may be too fast. Thanks.,2024-11-24 02:31:48,5,5,0,free ai tool record list nouns verbs slower apeed free app record two different voices dialogue eleven labs fantastic lower levels may fast thanks,2,NEGATIVE
Patrycja Krzeczkowska,"Hello, I need help. I want to create worksheets from video? What kind of AI website is the best for that? Thanks",2024-11-20 23:00:07,8,6,1,hello need help want create worksheets video kind ai website best thanks,2,POSITIVE
Anonymous participant,Is there an AI that I can use to track my students’ iep goals on a daily?,2024-11-22 21:18:40,6,4,0,ai use track students iep goals daily,0,NEGATIVE
Debbi Berk Parrott,Hi! I have been doing all I can to learn creative ways to use AI and I’m co-leading an AI Task Force this year. I teach AP Language and Composition and English 3P. What AI do you like best for upper level English? My favorite AI tool so far this last year is Brisk because of the targeted writing feedback. Thanks.,2024-09-16 21:10:48,7,18,0,hi learn creative ways use ai im coleading ai task force year teach ap language composition english p ai like best upper level english favorite ai tool far last year brisk targeted writing feedback thanks,2,POSITIVE
Muhammad Faizan,How can we avoid AI detection?,2024-10-18 02:58:37,47,38,3,avoid ai detection,0,NEGATIVE
Karen Mills,What would you recommend for making attractive primary worksheets? I've tried canva but it doesnt seem to do much more than I could do on a ppt.,2024-11-24 21:37:03,6,5,0,would recommend making attractive primary worksheets ive tried canva doesnt seem much could ppt,2,NEGATIVE
Anonymous participant,"Does anyone use AI to help write TTESS (Texas observation system for teachers)? If you do, could you give me some ideas on how to. I am a new AP so I am struggling using the rubric and having teacher and student verbiage in them.",2024-11-24 21:39:10,5,4,0,anyone use ai help write ttess texas observation system teachers could give ideas new ap struggling using rubric teacher student verbiage,2,NEGATIVE
Lorreine Berdin Garcia,Hello everyone! What AI tools that is free to use to make videos from Word Document or PDF? I appreciate your suggestions. Thanks.,2024-11-18 23:28:08,20,13,4,hello everyone ai tools free use make videos word document pdf appreciate suggestions thanks,2,POSITIVE
Rox Anne Velasquez Selmo,Do we have an available AI tool to run the data for statistics in research?,2024-11-24 21:36:14,6,6,0,available ai tool run data statistics research,0,POSITIVE
Zeeba Pavri,Is there an ai that can create doodle notes for different topics?  Thank you!!,2024-11-24 21:37:30,13,8,0,ai create doodle notes different topics thank,0,POSITIVE
Kylie Fisher,What's your top prompt idea/hack when writing a school report??!?,2024-11-24 21:37:19,6,3,0,whats top prompt ideahack writing school report,0,POSITIVE
Ayesha Bashir,Best AI tool for ICT lesson plan and ppt? Thanks in advance,2024-08-29 18:49:30,17,14,5,best ai tool ict lesson plan ppt thanks advance,0,POSITIVE
Michelle Sol,"Hey dears, 
Can you please help me with your experience and answer some of this questions please? It's for a very a wealthy cause 😇
Has there been a noticeable shift in critical thinking or problem-solving skills in educational outcomes before and after the Knesset’s establishment and the introduction of AI tools? Are there documented instances of differences in students’ analytical abilities over time?
How have questioning styles in classrooms evolved? Are students today encouraged to ask more open-ended questions or rely more on quick answers via AI-based tools?Has AI been used to help students understand political processes, including the workings of the Knesset? If so, has this changed students' ability to critically engage with or analyze political structures?
How has AI impacted the way students formulate answers in your opinion? Are they more inclined toward synthesizing information from various sources, or are they using AI to find quick, singular answers?
Has AI integration influenced the teaching of ethical and civic topics, including discussions on the role of the Knesset?Are students encouraged to critically analyze these topics, or has there been a shift toward rote learning?
With AI as a learning aid, have there been changes in students’ information retention and comprehension? For instance, do students retain knowledge about political structures and current events as effectively?",2024-11-24 02:15:56,3,3,0,hey dears please help experience answer questions please wealthy cause noticeable shift critical thinking problemsolving skills educational outcomes knessets establishment introduction ai tools documented instances differences students analytical abilities time questioning styles classrooms evolved students today encouraged ask openended questions rely quick answers via aibased toolshas ai used help students understand political processes including workings knesset changed students ability critically engage analyze political structures ai impacted way students formulate answers opinion inclined toward synthesizing information various sources using ai find quick singular answers ai integration influenced teaching ethical civic topics including discussions role knessetare students encouraged critically analyze topics shift toward rote learning ai learning aid changes students information retention comprehension instance students retain knowledge political structures current events effectively,0,NEGATIVE
Diana Johnhan,Have a question on AI? Ask it to the group on the main page for help.,2024-11-24 22:11:53,5,1,0,question ai ask group main page help,2,NEGATIVE
Anonymous participant,Is anyone having trouble with ChatGPT the last two days? It won’t load anything or allow me to type in any prompt…,2024-11-24 21:36:21,3,1,0,anyone trouble chatgpt last two days wont load anything allow type prompt,0,NEGATIVE
Laura Weatherall,"Hello,

Is there any AI tools that can mark work on the LMS canvas? I’m wondering if there was a rubric for each question if it could mark it? And write comments on what to fix up?",2024-11-24 21:36:46,3,1,0,hello ai tools mark work lms canvas im wondering rubric question could mark write comments fix,0,NEGATIVE
Farzana Begum,"Hi, Scratch Programming - Calculate the Average of a Series of Numbers Inputted by the User. Can someone help in making ppt for this topic.",2024-11-24 21:37:59,4,2,0,hi scratch programming calculate average series numbers inputted user someone help making ppt topic,2,NEGATIVE
John Vroegop,Does anyone use AI for their spelling program? I’ve never really been that happy with the program I use and am wanting to revamp… Looking for some ideas to increase student engagement.,2024-11-24 07:25:36,3,0,0,anyone use ai spelling program ive never really happy program use wanting revamp looking ideas increase student engagement,2,NEGATIVE
David Gillette,"I just dropped my ChatGPT subscription.

It suddenly over past several weeks can no longer create .doc and .pdf files for me any suggestions for a replacement AI?",2024-11-17 22:14:49,44,37,5,dropped chatgpt subscription suddenly past several weeks longer create doc pdf files suggestions replacement ai,0,NEGATIVE
Valerie Fleming,Anyone know of an AI generator tool that can create images based on provided sentences? I’m looking at creating simple books for primary students based on their word recognition.,2024-11-23 23:02:59,5,3,0,anyone know ai generator tool create images based provided sentences im looking creating simple books primary students based word recognition,2,NEGATIVE
Geoff Pope,"Hi, Infogr𝘼𝙄phics users!
Please recommend a tool(s) for me to create an infographic with the following text:

**Ignore the “1” point
placeholder grade.**

It will be updated after
you submit your revision
(or whatever I’ve directed
in my above comment/s).

Additional prompt: Put the first two lines in bold and include at the bottom left the words **Green River College** and **ENGL 101** and bottom right have a small green alligator with a white scarf and gusts and a power outage image or two.",2024-11-24 02:16:30,4,5,0,hi infogrphics users please recommend tools create infographic following text ignore point placeholder grade updated submit revision whatever ive directed comments additional prompt put first two lines bold include bottom left words green river college engl bottom right small green alligator white scarf gusts power outage image two,1,NEGATIVE
Megan Roadifer,"What's the best free AI for analyzing information? I am trying to illustrate how my district's grade level expectations are not sufficient to meet our State Standards. It's Elementary Art, so a more neglected content area. 
I've tried the free version ChatGPT, but I can't seen to get the promp right. It keeps inserting it's own information, even throw I say not to.",2024-11-24 00:34:43,7,6,0,whats best free ai analyzing information trying illustrate districts grade level expectations sufficient meet state standards elementary art neglected content area ive tried free version chatgpt cant seen get promp right keeps inserting information even throw say,2,NEGATIVE
Anonymous participant,How can I take a photo of someone and have it turned into a cute cartoon elf from santas workshop?,2024-11-23 23:03:05,6,6,0,take photo someone turned cute cartoon elf santas workshop,0,NEGATIVE
Lucila Blanza,"Hi all! Can you recommend an Al tool that best generates PowerPoint presentations?
Thank you in advance !",2024-11-22 21:23:20,7,8,2,hi recommend al tool best generates powerpoint presentations thank advance,0,POSITIVE
Armeena Syed,I have to make weekly plan for 5 grades each for two semesters. Which so I should use?,2024-11-24 00:30:37,4,8,0,make weekly plan grades two semesters use,2,NEGATIVE
Johana Doubra,"Hi, I need help solving this problem. I have started using Firefox for the ChatGPT and I want to record my prompts. It keeps telling me that I have exceeded my current Open AI Whisper API quota. But I have actually never sterted using it, so I could not have exceeded it. Does it mean that this function (record to write) is not free? Thank you, Johana",2024-11-13 15:32:15,3,1,0,hi need help solving problem started using firefox chatgpt want record prompts keeps telling exceeded current open ai whisper api quota actually never sterted using could exceeded mean function record write free thank johana,2,NEGATIVE
Cheng Ai Hoon Catherine,"is there AI tools can convert ebook to powerpoint slides? if the ebook is large, how can I break down the ebook?",2024-11-15 21:12:59,3,3,0,ai tools convert ebook powerpoint slides ebook large break ebook,0,NEGATIVE
Lucky Dee,"Free Chatbots for teachers with ChatGPT Plus.😊  Enjoy!
",2024-05-23 03:25:26,14,2,1,free chatbots teachers chatgpt plus enjoy,0,POSITIVE
Diana Johnhan,Feel free to share AI Tools For Teachers with your Teacher Friends to learn more about AI.🙂,2024-06-21 22:06:54,38,8,0,feel free share ai tools teachers teacher friends learn ai,0,POSITIVE
Ornella Andrisani,Vorrei creare una tombola matematica con brevi espressioni che utilizzino i numeri razionali: ogni espressione dovrebbe dare come risultato un numero da 1 a 90. Qualcuno conosce uno strumento che sia in grado di creare esercizi di questi tipo? ChatGpt non è stato utile :-(,2024-11-23 23:04:03,4,1,0,vorrei creare una tombola matematica con brevi espressioni che utilizzino numeri razionali ogni espressione dovrebbe dare come risultato un numero da qualcuno conosce uno strumento che sia grado di creare esercizi di questi tipo chatgpt non stato utile,0,NEGATIVE
Nicki Griffith Ensminger,What are some good tools to use with ELL students?,2024-11-22 21:20:13,5,10,1,good tools use ell students,0,POSITIVE
Anonymous participant,"Hi everyone! I’m preparing for a talk with colleagues on students’ use of AI in their studies. I teach at the university level, and I see both the benefits and challenges. I believe banning AI isn’t the answer; instead, we should rethink assessments to encourage ethical and practical use, especially since many companies are embracing these tools.

What are some ways you’ve seen students use AI – both positive and negative? Thanks for your insights!",2024-11-16 05:10:01,18,14,0,hi everyone im preparing talk colleagues students use ai studies teach university level see benefits challenges believe banning ai isnt answer instead rethink assessments encourage ethical practical use especially since many companies embracing tools ways youve seen students use ai positive negative thanks insights,2,POSITIVE
Ingrid P. Norman,Hi! I'm new to this group. I recently joined because of Generative AI discussions within our Trachers’ Council and I want to be more educated myself on what my students may have available at their fingertips. I am a high school teacher and want to ensure my students know the ethical and appropriate use of AI; and also how I can use it to best effect for me too 😁,2024-11-15 21:13:16,7,7,1,hi im new group recently joined generative ai discussions within trachers council want educated students may available fingertips high school teacher want ensure students know ethical appropriate use ai also use best effect,2,POSITIVE
David Recine,"Can anyone suggest some lesson plans or activities that can get the students themselves to use AI, but use it ethically in a way that actually helps them learn? (I have a few ideas, but would love to hear from others!)",2024-11-17 22:14:31,7,10,1,anyone suggest lesson plans activities get students use ai use ethically way actually helps learn ideas would love hear others,0,NEGATIVE
May Micallef,"Is there a particular tool that is free that can help me with exam paper setting? More specifically, I need it to generate not only text, but an infographic or a pie chart or graph to go with the text. TIA.",2024-11-22 21:18:27,5,0,0,particular tool free help exam paper setting specifically need generate text infographic pie chart graph go text tia,2,NEGATIVE
Anonymous participant,Which sites are the best for creating essay outlines (graphic organizer format) for a writing prompt?,2024-11-22 21:21:33,3,2,0,sites best creating essay outlines graphic organizer format writing prompt,0,POSITIVE
George Valellis,"I need a free AI tool like STORM for a long articles with content

Any idea?",2024-11-22 21:21:54,3,8,0,need free ai tool like storm long articles content idea,0,NEGATIVE
Diana Johnhan,"# **How to Support Critical Thinking with ChatGPT Thanksgiving Prompts (Free Ideas)**

Hi teachers. Here’s how you can use ChatGPT to inspire Thanksgiving creativity in the classroom while encouraging students to think independently and critically about their ideas.

The Template - 
https://www.aiforteachers.ai/prompts/8-thanksgiving-ai-prompt-projects-for-students/

Project Ideas:

**1. “Thankful for the Little Things”**

**ChatGPT Prompt:** “List small, everyday things people often forget to appreciate.”

After sharing ChatGPT’s list, ask students to add their own ideas without repeating any items. This encourages them to think more deeply and personally about gratitude.

**2. “Create a Thanksgiving Superhero”**

**ChatGPT Prompt:** “Imagine a superhero who spreads gratitude during Thanksgiving. Describe their superpowers and mission.”

Challenge students to expand on ChatGPT’s response or create a completely new superhero with a unique mission that no one else would think of.

**3. “If a Turkey Could Talk…”**

**ChatGPT Prompt:** “Write a funny story from a turkey’s point of view during Thanksgiving.”

Read ChatGPT’s story as a fun starting point, then encourage students to write or perform their own unique version, imagining the turkey’s feelings, plans, and quirks.

**4. “A Recipe for Gratitude”**

**ChatGPT Prompt:** “Create a whimsical ‘recipe’ for gratitude, listing ingredients like love, family, kindness, etc.”

Have students personalize their recipes with “ingredients” that are unique to them, adding why each one is important.

**5. “Friendsgiving Invitations”**

**ChatGPT Prompt:** “Create a Thanksgiving dinner invitation for historical figures, animals, or book characters.”

Share ChatGPT’s invitation idea, then challenge students to create their own, choosing one guest they would personally invite and explaining why.

**6. “The Mystery of the Missing Mashed Potatoes”**

**ChatGPT Prompt:** “Write a funny mystery starter about missing mashed potatoes at Thanksgiving.”

⭐️ The Template - 

https://www.aiforteachers.ai/prompts/8-thanksgiving-ai-prompt-projects-for-students/

**How to Encourage Critical Thinking (Without Relying 100% on ChatGPT)**

**1. Prompt for Personal Ideas:**

Ask students to personalize their responses with their own experiences or interests.

**2. Add “What If” Scenarios:**

Encourage students to build on ChatGPT’s ideas with “what if” questions or additional twists.

**3. Promote Original Thought:**

After reading ChatGPT’s output, ask students to critique or expand on it, promoting analytical thinking and independence.

🌟 **Which Thanksgiving prompt is your favorite?**

👩‍🔬 Did you find the helpful? I would love to hear your feedback.🙂

⭐️ The Template - 

https://www.aiforteachers.ai/prompts/8-thanksgiving-ai-prompt-projects-for-students/

#teachersupport #teachersday",2024-11-22 21:21:24,32,6,10,support critical thinking chatgpt thanksgiving prompts free ideas hi teachers heres use chatgpt inspire thanksgiving creativity classroom encouraging students think independently critically ideas template project ideas thankful little things chatgpt prompt list small everyday things people often forget appreciate sharing chatgpts list ask students add ideas without repeating items encourages think deeply personally gratitude create thanksgiving superhero chatgpt prompt imagine superhero spreads gratitude thanksgiving describe superpowers mission challenge students expand chatgpts response create completely new superhero unique mission one else would think turkey could talk chatgpt prompt write funny story turkeys point view thanksgiving read chatgpts story fun starting point encourage students write perform unique version imagining turkeys feelings plans quirks recipe gratitude chatgpt prompt create whimsical recipe gratitude listing ingredients like love family kindness etc students personalize recipes ingredients unique adding one important friendsgiving invitations chatgpt prompt create thanksgiving dinner invitation historical figures animals book characters share chatgpts invitation idea challenge students create choosing one guest would personally invite explaining mystery missing mashed potatoes chatgpt prompt write funny mystery starter missing mashed potatoes thanksgiving template encourage critical thinking without relying chatgpt prompt personal ideas ask students personalize responses experiences interests add scenarios encourage students build chatgpts ideas questions additional twists promote original thought reading chatgpts output ask students critique expand promoting analytical thinking independence thanksgiving prompt favorite find helpful would love hear feedback template teachersupport teachersday,1,POSITIVE
Marci Nelles Bergman,"Brisk is not working well for creating quizzes--it doesn't heed instructions as well as I’d like, uses the same answer choices in many questions, etc. What's a better one that will create a quiz in Google Forms?",2024-11-19 22:08:19,8,12,3,brisk working well creating quizzesit doesnt heed instructions well id like uses answer choices many questions etc whats better one create quiz google forms,0,NEGATIVE
Natalie Bell,"Hi everyone, salute to you all in these crazy times. I'm wondering if there is anything out there that could make it easier to mark/give feedback on reflective write ups? Thx",2024-11-20 22:59:03,5,10,0,hi everyone salute crazy times im wondering anything could make easier markgive feedback reflective write ups thx,2,NEGATIVE
Anonymous participant,"Hello! I am looking for some advice on updating my presentation slides.

I’m in higher education, and I use a PowerPoint template for my slides that were given by our textbook publisher with pre-made slides. I have spent countless hours making many many modifications so that they are more visually appealing, but I still feel like they look bland/outdated.

I love how Canva’s slides look, but the speaker notes and alt text are not transferred with uploading my current slides so this would take a LOT of time to manually input.

I asked ChatGPT for some ways to seamlessly make the conversion while preserving speaker notes and alt text. It provided several useful examples, including Google Slides with add-ons, Prezi, beautiful.ai, and Keynote. 

However, only uploading them to Google Slides and using add-on’s like SlidesCarnival or Slidesgo to apply modern templates seems to be the most reasonable while preserving speaker notes and alt text. Keynote also preserves speaker notes and alt text, but I do not use a Mac. 

Currently, I am using PowerPoint on OneDrive. Are there any effective add-on’s for OneDrive or PowerPoint (desktop version) that can modify my slides or apply different templates?

I ask because I have some issues with Google Slides, and uploading them to Google Slides will take some time, too. In case the options for OneDrive/PowerPoint are limited— When uploading slides into Google Slides and when downloading them from Google Slides, the formatting doesn’t look the same. Is there a way to upload slides into Google Slides and download from it that preserves the formatting?

Thank you in advance!",2024-11-22 21:23:53,2,4,0,hello looking advice updating presentation slides im higher education use powerpoint template slides given textbook publisher premade slides spent countless hours making many many modifications visually appealing still feel like look blandoutdated love canvas slides look speaker notes alt text transferred uploading current slides would take lot time manually input asked chatgpt ways seamlessly make conversion preserving speaker notes alt text provided several useful examples including google slides addons prezi beautifulai keynote however uploading google slides using addons like slidescarnival slidesgo apply modern templates seems reasonable preserving speaker notes alt text keynote also preserves speaker notes alt text use mac currently using powerpoint onedrive effective addons onedrive powerpoint desktop version modify slides apply different templates ask issues google slides uploading google slides take time case options onedrivepowerpoint limited uploading slides google slides downloading google slides formatting doesnt look way upload slides google slides download preserves formatting thank advance,2,NEGATIVE
Anonymous participant,I need a free AI app to help me in learning an  english conversation,2024-11-22 21:18:25,11,6,0,need free ai app help learning english conversation,0,NEGATIVE
Ioanna Zafeiriou,"I would like to do an efl project (b2) on historical figures from a modern perspective using ai apps. Virtual interviews will probably be included. Any suggestions in terms of more activities/apps?
I would like apps to be free, as some will be used by students.
I will probably use Deep AI and Historyby.ai but I would like more recommendations.",2024-11-22 07:54:34,9,4,0,would like efl project b historical figures modern perspective using ai apps virtual interviews probably included suggestions terms activitiesapps would like apps free used students probably use deep ai historybyai would like recommendations,2,NEGATIVE
Akinremi Emmanuel,"Which AI tool can I use to teach my students pitching a product, from concept to marketing",2024-11-20 23:01:14,9,11,0,ai tool use teach students pitching product concept marketing,0,NEGATIVE
Αφροδίτη Μιχελάκου,Θα ήθελα να μου προτείνετε ένα εργαλείο που θα δίνει ζωή σε ένα avatar και θα κάνει τα χείλη να κινούνται.,2024-11-22 07:55:36,8,6,0,avatar,0,POSITIVE
Krishnendu Saha,"I use Microsoft 21, but sadly the designer tool is not available.could you suggest any alternative? I mainly use powerpoint.",2024-11-22 21:19:34,3,3,0,use microsoft sadly designer tool availablecould suggest alternative mainly use powerpoint,2,NEGATIVE
Amanda Girschick,Are there any tools I can use to help make an exit ticket? I need one that looks like a notebook,2024-11-22 21:19:57,5,3,0,tools use help make exit ticket need one looks like notebook,0,NEGATIVE
Pavle Luger,"Hi guys this group is amazing. All these tools are propelling my teaching and tutoring aspirations to a new level. As there are soooooo many tools  which would you recommend for doing intercultural training for courses and slides  which perhaps is closest to university   sociology and business communication.,  yet also can be approached from  rather coaching and people skills approach.  I would do the prestationwith some power point, yet I would include a summary. A review and perhaps and online test. There are so many. And I get lost sometimes. Namaste",2024-11-20 23:02:12,15,11,0,hi guys group amazing tools propelling teaching tutoring aspirations new level soooooo many tools would recommend intercultural training courses slides perhaps closest university sociology business communication yet also approached rather coaching people skills approach would prestationwith power point yet would include summary review perhaps online test many get lost sometimes namaste,2,NEGATIVE
Diana Johnhan,"# **How to Automate Routine Communication With ChatGPT (Free Solution)**

Here's how I easily automated and simplified my routine communication tasks with ChatGPT.

The Template: https://docs.google.com/document/d/1MrRvOOt3JSKNfL1IoWN5yi1xuiMf-0CyEniI7KRmHzU/edit?usp=sharing

## 1. DRAFT WEEKLY NEWSLETTERS

Input key points or topics, and ChatGPT can generate a polished, engaging newsletter. This keeps parents informed about classroom activities, upcoming events, and student achievements.

**Prompt:**""Summarize this week's lessons on fractions, highlight the upcoming field trip, and remind parents about the homework due on Friday.""

## 2. CRAFT EMAIL TEMPLATES

Create standardized email templates for common scenarios like progress reports, meeting requests, or behavior updates. You can quickly personalize these as needed.

**Prompt:**""Generate a polite email template to request a parent-teacher conference regarding a student's recent drop in grades.""

## 3. AUTOMATE REMINDERS AND ANNOUNCEMENTS

Use ChatGPT to draft reminders for assignments, events, or important deadlines. These can be quickly sent out to parents and students.

**Prompt:**""Write a reminder for parents about the permission slip deadline for the field trip next week.""

## 4. GENERATE POSITIVE FEEDBACK NOTES

Quickly create personalized notes recognizing student achievements or positive behavior, helping to build a positive rapport with parents.

**Prompt:**""Write a quick note to a parent praising their child's participation in class discussions this week.""

👩‍🔬 Found this helpful? Let me know. What would you like a helpful template on next?",2024-10-06 20:16:44,59,7,11,automate routine communication chatgpt free solution heres easily automated simplified routine communication tasks chatgpt template draft weekly newsletters input key points topics chatgpt generate polished engaging newsletter keeps parents informed classroom activities upcoming events student achievements promptsummarize weeks lessons fractions highlight upcoming field trip remind parents homework due friday craft email templates create standardized email templates common scenarios like progress reports meeting requests behavior updates quickly personalize needed promptgenerate polite email template request parentteacher conference regarding students recent drop grades automate reminders announcements use chatgpt draft reminders assignments events important deadlines quickly sent parents students promptwrite reminder parents permission slip deadline field trip next week generate positive feedback notes quickly create personalized notes recognizing student achievements positive behavior helping build positive rapport parents promptwrite quick note parent praising childs participation class discussions week found helpful let know would like helpful template next,1,POSITIVE
Lynda Manganello Walsh,"Best way to upload a reading selection, make a set of multiple choice questions and get a CSV file to upload to Blooket?",2024-11-19 22:07:27,4,2,0,best way upload reading selection make set multiple choice questions get csv file upload blooket,0,NEGATIVE
Anonymous participant,"Random one, but does anyone know if there's a way to make an audio for a nativity play?
We want our year 1 class to be stars this year (we do a whole ks1 nativity) and they will perform a dance whilst year 2 have the lines. We want it to be like a spin off of strictly come dancing and them to be introduced by what sounds like either Tess or Claudia or like the voice you'd have on a talent show introducing them like ""please welcome to the dance floor, the dazzling stars of year 1"" and then the strictly music play. Is this something someone has done before or know what the best way to create this would be? We would want to last at least 2 mins so they all get a chance to shine! Thanks in advance!",2024-11-18 23:28:57,6,3,0,random one anyone know theres way make audio nativity play want year class stars year whole ks nativity perform dance whilst year lines want like spin strictly come dancing introduced sounds like either tess claudia like voice youd talent show introducing like please welcome dance floor dazzling stars year strictly music play something someone done know best way create would would want last least mins get chance shine thanks advance,2,POSITIVE
Gill Perlberg,"היי, 
משהו מכיר כלי שמסכם במסמך סרטוני TIKTOK ?",2024-11-20 23:03:25,5,5,0,tiktok,0,POSITIVE
Christi Demetriou,Hello. I need to convert  photos of my student and make them.look like kings and queens. What AI is better to use? Thank you,2024-11-17 22:14:15,6,6,0,hello need convert photos student make themlook like kings queens ai better use thank,0,NEGATIVE
Heledd Griffiths,Can anyone suggest a free AI tool that students could use to generate a range of product designs in CAD drawing format?,2024-11-20 22:59:15,3,0,0,anyone suggest free ai tool students could use generate range product designs cad drawing format,0,NEGATIVE
Aila Atme,Which AI tool I can use to prepare an SAT math exam that can be transformed to word?,2024-11-20 22:59:56,6,3,1,ai tool use prepare sat math exam transformed word,0,NEGATIVE
RebeccandIan Beard,Hey! What is the best AI tools for tutoring students?,2024-11-17 22:14:12,18,20,3,hey best ai tools tutoring students,0,POSITIVE
Megan Caputo,What are the best AI apps or sites to use for essay grading 🙏🏻🙏🏻🙏🏻🙏🏻,2024-11-19 22:07:41,52,37,30,best ai apps sites use essay grading,0,POSITIVE
